Timestamp,CH1 Volts,CH2 Volts,CH3 Volts,CH4 Volts,CH5 m/s^2,CH6 m/s^2,CH7 m/s^2,CH8 C
2025-03-10_14-00-00.000,3.21,2.57,27.0,4.07,0.14,-0.04,0.05,26.4
2025-03-10_14-00-02.000,3.41,2.57,23.6,3.83,0.1,-0.06,0.06,25.9
2025-03-10_14-00-04.000,3.75,2.71,23.2,3.86,0.14,-0.06,0.1,26.7
2025-03-10_14-00-06.000,3.2,2.87,24.7,3.87,0.17,-0.01,0.07,26.7
2025-03-10_14-00-08.000,3.22,2.6,25.6,4.01,0.16,-0.0,0.11,25.4
2025-03-10_14-00-10.000,3.75,2.6,23.4,3.99,0.12,-0.07,0.09,25.4
2025-03-10_14-00-12.000,3.25,2.87,23.4,4.2,0.14,-0.06,0.04,25.2
2025-03-10_14-00-14.000,3.43,3.01,24.2,3.93,0.14,-0.06,0.05,26.6
2025-03-10_14-00-16.000,3.55,2.74,26.0,3.94,0.14,-0.01,0.1,25.1
2025-03-10_14-00-18.000,3.23,2.84,27.9,4.09,0.13,-0.03,0.11,26.0
2025-03-10_14-00-20.000,3.67,2.73,26.9,4.16,0.14,-0.09,0.04,25.2
2025-03-10_14-00-22.000,3.33,3.02,25.7,3.81,0.15,-0.03,0.04,25.2
2025-03-10_14-00-24.000,3.49,2.97,27.4,4.0,0.15,-0.05,0.13,25.7
2025-03-10_14-00-26.000,3.3,2.68,28.4,3.84,0.08,-0.04,0.11,25.5
2025-03-10_14-00-28.000,3.39,2.66,23.0,4.02,0.12,-0.04,0.07,26.0
2025-03-10_14-00-30.000,3.5,2.82,23.1,3.89,0.1,-0.06,0.08,25.8
2025-03-10_14-00-32.000,3.44,2.66,23.3,4.36,0.08,-0.06,0.09,26.8
2025-03-10_14-00-34.000,3.54,2.69,27.9,4.02,0.13,-0.07,0.11,26.7
2025-03-10_14-00-36.000,3.22,2.52,22.7,3.88,0.16,-0.05,0.05,26.9
2025-03-10_14-00-38.000,3.7,2.56,23.4,3.87,0.15,-0.07,0.09,26.6
2025-03-10_14-00-40.000,3.21,2.79,25.3,4.04,0.15,-0.04,0.1,26.8
2025-03-10_14-00-42.000,3.23,2.89,25.4,3.83,0.17,-0.09,0.12,26.0
2025-03-10_14-00-44.000,3.22,2.93,24.2,4.1,0.07,-0.0,0.09,25.4
2025-03-10_14-00-46.000,3.3,2.81,27.3,4.03,0.17,-0.05,0.05,26.0
2025-03-10_14-00-48.000,3.53,2.51,27.2,4.04,0.09,-0.09,0.1,26.9
2025-03-10_14-00-50.000,3.66,2.71,28.3,3.87,0.09,-0.04,0.07,26.1
2025-03-10_14-00-52.000,3.72,3.02,26.6,4.29,0.16,-0.06,0.05,25.9
2025-03-10_14-00-54.000,3.57,2.65,28.3,3.82,0.09,-0.07,0.03,25.8
2025-03-10_14-00-56.000,3.22,2.75,24.7,3.92,0.1,-0.04,0.07,25.4
2025-03-10_14-00-58.000,3.64,2.72,22.9,3.86,0.12,-0.1,0.06,25.6
2025-03-10_14-01-00.000,3.64,2.7,27.7,4.34,0.16,-0.1,0.11,25.0
2025-03-10_14-01-02.000,3.47,2.86,25.1,4.06,0.14,-0.03,0.04,26.9
2025-03-10_14-01-04.000,3.75,2.89,26.1,4.33,0.13,-0.06,0.09,25.5
2025-03-10_14-01-06.000,3.45,2.77,23.0,4.05,0.12,-0.02,0.04,25.6
2025-03-10_14-01-08.000,3.31,2.98,26.5,4.28,0.14,-0.09,0.08,25.1
2025-03-10_14-01-10.000,3.64,2.69,22.6,4.26,0.09,-0.05,0.09,26.6
2025-03-10_14-01-12.000,3.62,2.69,24.1,4.29,0.08,-0.06,0.05,25.5
2025-03-10_14-01-14.000,3.45,2.96,25.7,3.85,0.16,-0.08,0.06,25.3
2025-03-10_14-01-16.000,3.27,2.76,24.3,4.14,0.15,-0.07,0.1,25.6
2025-03-10_14-01-18.000,3.46,3.03,24.7,4.35,0.11,-0.02,0.07,25.9
2025-03-10_14-01-20.000,3.29,2.79,26.0,3.85,0.1,-0.06,0.08,26.9
2025-03-10_14-01-22.000,3.49,2.59,23.8,3.88,0.11,-0.05,0.08,26.4
2025-03-10_14-01-24.000,3.59,3.1,24.6,4.14,0.12,-0.01,0.11,27.0
2025-03-10_14-01-26.000,3.71,2.62,24.1,4.13,0.08,-0.1,0.07,25.4
2025-03-10_14-01-28.000,3.75,2.83,22.5,4.12,0.09,-0.04,0.07,25.6
2025-03-10_14-01-30.000,3.28,2.51,22.9,3.89,0.16,-0.04,0.11,25.3
2025-03-10_14-01-32.000,3.31,3.02,24.1,4.12,0.15,-0.09,0.13,25.8
2025-03-10_14-01-34.000,3.43,2.84,25.5,3.82,0.13,-0.09,0.06,26.4
2025-03-10_14-01-36.000,3.69,2.7,27.9,4.29,0.14,-0.02,0.1,25.5
2025-03-10_14-01-38.000,3.7,2.62,26.7,4.23,0.08,-0.03,0.09,25.7
